Category,Name,OPC_CODE
Uncategorized,$50 RESTAURANT CREDIT,WG37.5V
Uncategorized,$100 RESTAURANT CREDIT,WG75V
Restaurants,$25 FREE SLOT PLAY,WG20V
Restaurants,$50 FREE SLOT PLAY,WG40V
Restaurants,$75 FREE SLOT PLAY,WG60V
Restaurants,$100 FREE SLOT PLAY,WG80V
Restaurants,$50 PROMO TABLE CHIPS,WG25V
Restaurants,$100 PROMO TABLE CHIPS,WG50V
Restaurants,$150 PROMO TABLE CHIPS,WG75V
Restaurants,$200 PROMO TABLE CHIPS,WG100V
Restaurants,$100 SERENITY SPA,WG75V
Restaurants,WG TIMESHARE DRINK COUPON,WG3.25V
Restaurants,$25 RESORT CREDIT,WG18.75V
Restaurants,JEN KRAMER,WG17 virtual tix
Restaurants,SOUL OF MOTOWN,WG11 virtual tix
Restaurants,BARRY MANILOW,WG50 virtual tix
Restaurants,Imaginarium ADULT,WG18 Voucher
Restaurants,"Imaginarium CHILD ( Kids 3"" under are free )",WG15 Voucher
Restaurants,BARRY MANILOW,WG50 virtual tix
Restaurants,SOUL OF MOTOWN,WG30 virtual tix
Restaurants,JEN KRAMER,WG17 virtual tix
Restaurants,The King Comes Home,WG30 virtual tix
Attractions,ADVENTURE DOME,WG39H
Attractions,HIGH ROLLER HAPPY HALF HOUR  (TICKETS ONLY AT WLV),WG51H
Attractions,HIGH ROLLER ANYTIME ( SHOWCASE ONLY),WG27H
Attractions,EIFFEL TOWER ANYTIME,WG19H
Attractions,LINQ- FLY SEATED ZIPLINE,WG24H
Attractions,YOBO Attraction Pass Admit 1                                                                                                 (EIFFEL Tower -High Roller Anytine -FLYOVER-                     Madame Tussauds ),WG26H
Attractions,MOB MUSEUM ADLT (18+),WG25V
Attractions,MOB MUSEUM CHLD (11-17),WG15V
Attractions,MAVERICK NEON LIGHTS FLIGHT,WG82V
Attractions,Madame Tussauds + Outdoor Gondola Ride,WG54H
Attractions,STANDARD ADMISSION - Wax Museum,WG32H
Attractions,Madame Tussauds + Outdoor Gondola Ride,WG52H
Shows,The Rat Pack Is Back Show & Bistecca Dinner,WG90V
Shows,The Rat Pack Is Back Show & Marylin's Cafe Dinner,WG45V
Shows,Nathan Burton,WG22V
Shows,YOBO-MJLIVE,WG29H
Shows,Terry Fator Show,WG46V
Shows,PURPLE REIGN,WG1H
Shows,( E Ticket ) TOURNMENT OF KINGS,WG52
Shows,( E Ticket ) BLUE MAN GROUP,WG66
Shows,Criss Angel MINDFREAK,WG65H
Shows,Mat Franco,WG52H
Shows,KA,WG93H
Shows,Awakening,WG118H
Shows,Mad Apple,WG75H
Shows,The Sphere  -The Wizard of Oz,WG119H
Shows,Las Vegas Party Pass,WG65H
Shows,V - ULTIMATE VARIETY SHOW,WG40V
Shows,VEGAS -THE SHOW,WG40V
Shows,ZOMBIE BURLESQUE,WG40V
Shows,THE MENTALIST,WG40V
Shows,POPOVICH COMEDY PET THEATER,WG40V
Shows,An R-Rated Magic Show,WG40V
Shows,All Star Of Magic,WG40V
Shows,LAS VEGAS LIVE COMEDY CLUB,WG40V
Shows,MARC SAVARD COMMEDY CLUB HYPNOSIS,WG40V
Shows,STRIPPER 101,WG40V
Shows,"EDDIE GRIFFIN (""NO PHONE SHOW"")",WG40V
Shows,LIOZ MASTER OF DELUSION,WG40V
Shows,CARPENTERS LEGACY,WG40V
Shows,PIANO MAN,WG40V
Shows,FATIMA 100%,WG40V
Shows,BIG BLACK COMEDY SHOW,WG40V
Shows,THE JETS 80's & 90's MUSIC EXP,WG40V
Shows,PAMPAS LUNCH FOR 1 -,WG15V
Shows,PAMPAS LUNCH FOR 2 -,WG30V
Shows,PAMPAS DINNER FOR 1 -,WG29V
Shows,PAMPAS DINNER FOR 2,WG57V
Shows,HARD ROCK CAFÃ‰ CERT,WG35V
Shows,Romance Package- Sinatra Special - at Joel's Chophouse,WG65V
Shows,Vacations of a LIFETIME,WG1.86H
Shows,Norwegian Cruise,WG43H
Shows,8/7 CONDO CERT,WG15H
Shows,Vegas Fun Card,WG5H
Shows,Vegas Bite Card,WG2.50
Shows,$100 VISA CREDIT CARD,WG100
